title,pair_id,sent_id,complex,label,simple,simp_sent_id,doc_pos,doc_quint,doc_len,pred,pred_l
item_p0000,p0000,0,"Every morning, before the temperatures in India’s capital start to rise, a handful of old friends gather.",ignore,[''],0,0.03125,2,32,"Every morning before the sun begins to rise, a handful of old friends gather.",1
item_p0000,p0000,1,"On the parched grass not far from the India Gate monument at the centre of Delhi, they stretch, breathe and meditate.",ignore,[''],1,0.0625,2,32,"They stretch, breathe and meditate on the dry grass not far from the India Gate monument at the center of Delhi.",1
item_p0000,p0000,2,“It is the only healthy way to start the day.,ignore,[''],2,0.09375,2,32,bedding is the only healthy way to start the day.,0
item_p0000,p0000,3,"Much better than an egg or a sandwich or a cup of tea,” said Arvind Singh at 6.15am as he did his breathing exercises on a bench.",ignore,[''],3,0.125,2,32,"It's much better than an egg or a sandwich or a cup of tea, said Arvind Singh.",1
item_p0000,p0000,4,"Singh, a 42-year-old salesman, and his friends are far from alone.",ignore,[''],4,0.15625,2,32,Singh is a 42-year-old salesman. He and his friends are far from alone.,2
item_p0000,p0000,5,"All across India, in the overcrowded cities, on whatever green space is left, similar scenes are being played out.",ignore,[''],5,0.1875,2,32,"All across India, in the overcrowded cities, similar scenes are being played out.",1
item_p0000,p0000,6,"On 21 June – the new International Day of Yoga – Narendra Modi, India’s prime minister, hopes the world will join in.",ignore,[''],6,0.21875,2,32,"The new day is the new International Day of Yoga. India's prime minister, Narendra Modi, hopes the world will join in.",2
item_p0000,p0000,7,"The grass near India Gate will be transformed into the venue for what, it is hoped, will be the biggest single yoga session ever held, with up to 45,000 people running through a 35-minute routine.",ignore,[''],7,0.25,2,32,"The grass near India Gate will be transformed into the place for the biggest single yoga class ever held. Up to 45,000 people will be running through a 35-minute pattern.",2
item_p0000,p0000,8,"The participants will include 64-year-old Modi, most of his government and, they hope, a range of celebrities.",ignore,[''],8,0.28125,2,32,"The volunteers will include Modi, the prime minister, most of his government and, they hope, a range of celebrities.",1
item_p0000,p0000,9,Officials have been sent to round up volunteers from scores of countries to reinforce the international credentials of the ancient Indian practice.,ignore,[''],9,0.3125,2,32,Officials have been sent to round up volunteers from many countries.,1
item_p0000,p0000,10,"Getting Indians, and others, stretching has emerged as something of a focus for Modi, who led his Bharatiya Janata Party (BJP) to a landslide election victory in 2014.",ignore,[''],10,0.34375,2,32,"Getting Indians, and others, stretching is something that Modi is trying to do. He led his government to a landslide election victory in 2014.",2
item_p0000,p0000,11,"In May 2015, schools were directed to make sure students attended yoga events timed to coincide with the big demonstration in Delhi, even though it is being held on a Sunday.",ignore,[''],11,0.375,2,32,,3
item_p0000,p0000,12,Officials have already signalled the introduction of compulsory yoga for India’s famously out-of-shape police officers and said that daily yoga lessons would be offered free to three million civil servants and their families.,ignore,[''],12,0.40625,2,32,Officials have already suggested yoga to India's police officers. They say daily yoga lessons would be offered free to three million citizens and their families.,2
item_p0000,p0000,13,"Air India, the national carrier, has also said it will introduce yoga for trainee pilots.",ignore,[''],13,0.4375,2,32,Air India has also said it will teach yoga to its pilots.,1
item_p0000,p0000,14,"More controversially, senior politicians in India have suggested more widespread practice of yoga could bring down soaring levels of sexual violence in the country.",ignore,[''],14,0.46875,2,32,Some Indian leaders have suggested that more practice of yoga could bring down the number of sexual attacks in the country.,1
item_p0000,p0000,15,"Modi, an ascetic who is a committed vegetarian and an enthusiastic yoga practitioner himself, suggested an international yoga day when speaking to the United Nations on a visit to New York in 2014.",ignore,[''],15,0.5,2,32,"India's prime minister, Narendra Modi, suggested an international yoga day when he came to the United Nations in 2014.",1
item_p0000,p0000,16,“Yoga is an invaluable gift of India’s ancient tradition.,ignore,[''],16,0.53125,2,32,Yoga is passed on from parents to children.,1
item_p0000,p0000,17,"It embodies unity of mind and body, thought and action, restraint and fulfilment, harmony between man and nature, a holistic approach to health and wellbeing.",ignore,[''],17,0.5625,2,32,"It represents unity of mind and body, thought and action, and peace and understanding. It also celebrates harmony between man and nature.",2
item_p0000,p0000,18,"It is not about exercise but discovering the sense of oneness with yourself, the world and nature,” Modi said at the time, adding that yoga could help in tackling climate change.",ignore,[''],18,0.59375,2,32,"According to Modi, yoga is not only about exercise. It is also about discovering the sense ofeness with yourself, the world and nature.",2
item_p0000,p0000,19,"The discipline is between 3,000 and 6,000 years old and originated somewhere on the Indian subcontinent, possibly among religious ascetics.",ignore,[''],19,0.625,2,32,"It is between 3,000 and 6,000 years old and originated somewhere in India.",1
item_p0000,p0000,20,"Its meditative practices, as well as its physical exercises, have long been associated with local religious traditions including Buddhism and Jainism, as well as the Hinduism practised by 80% of Indians.",ignore,[''],20,0.65625,2,32,"It has long been linked to religious traditions such as Buddhism and Jainism, and Hinduism.",1
item_p0000,p0000,21,"Modi, who started his career as an organizer for a hardline Hindu nationalist organization, has been previously criticized for promoting a view of Indian culture that has little place for other traditions.",ignore,[''],21,0.6875,2,32,Prime Minister Modi has been criticized for encouraging a view of Indian culture. He claims it has little place for other traditions.,2
item_p0000,p0000,22,"One commentator called the event on 21 June “a mix of cultural nationalism, commercialization and subtle coercion”.",ignore,[''],22,0.71875,2,32,"One commentator called the event a mix of anti-government, against the arts and against the government.",1
item_p0000,p0000,23,"Novelist Ajaz Ashraf wrote on India’s Scroll website: “Underlying it is the hope of bringing into the BJP tent the modern-day gurus and their teeming followers, who largely constitute the urban middle classes.” Others, however, point to a recent US court ruling that said yoga was not inevitably linked to faith.",ignore,[''],23,0.75,2,32,Ajaz Ashraf is a cartoonist in India. Ashraf wrote about a recent Supreme Court decision that said yoga is not linked to religion.,2
item_p0000,p0000,24,"A court in California ruled that: “While the practice of yoga may be religious in some contexts, yoga classes as taught in the [San Diego] district are, as the trial court determined, ‘devoid of any religious, mystical or spiritual trappings’.” This came after two parents claimed yoga in schools promoted Hinduism and inhibited Christianity.",ignore,[''],24,0.78125,2,32,It came after two parents claimed yoga classes in schools promoted Hinduism and Christianity.,1
item_p0000,p0000,25,"Amish Tripathi, the author of best-selling novels set 4,000 years ago in India that retell stories from Hindu mythology, said characters in his books practise yoga.",ignore,[''],25,0.8125,2,32,"Ashoka Mukpo is the author of best-selling books set 4,000 years ago in India. He said characters in his books practice yoga.",2
item_p0000,p0000,26,"“In ancient India, it was part of daily life, both the physical and the mental aspects.",ignore,[''],26,0.84375,2,32,"Nagle also recalled how yoga was part of daily life in ancient India, both physical and mental.",1
item_p0000,p0000,27,"Every culture has gifted something to the world and this is our gift,” Tripathi said.",ignore,[''],27,0.875,2,32,"Every culture has gifted something to the world and this is our gift,"" she said.",0
item_p0000,p0000,28,"Suneel Singh, a guru in south Delhi, agreed that yoga did not belong to any one religion: “Is t’ai chi just Chinese?",ignore,[''],28,0.90625,2,32,"Suneel Singh, a living in south Delhi, agreed that yoga did not belong to any one religion:mi chi just Chinese?",0
item_p0000,p0000,29,Is football just English?,ignore,[''],29,0.9375,2,32,Is football just English?,0
item_p0000,p0000,30,Same with yoga.,ignore,[''],30,0.96875,2,32,Same with yoga.,0
item_p0000,p0000,31,It is a complete package for everybody’s body and a cheap way to keep you hale and hearty.”,ignore,[''],31,1.0,2,32,,3
item_p0001,p0001,0,What is it like to look at the very last of something?,ignore,[''],0,0.024390243902439,2,41,,3
item_p0001,p0001,1,To contemplate the passing of a unique wonder that will soon vanish from the face of the earth?,ignore,[''],1,0.048780487804878,2,41,To think about the passing of a special wonder that will soon vanish from the Earth?,1
item_p0001,p0001,2,Sudan is the last male northern white rhino on the planet.,ignore,[''],2,0.073170731707317,2,41,Sudan is the last male northern white rhino on the planet.,0
item_p0001,p0001,3,"If he does not mate successfully soon with one of two female northern white rhinos at Ol Pejeta Conservancy in Kenya, there will be no more of their kind, male or female, born anywhere.",ignore,[''],3,0.0975609756097561,2,41,"If he does not mate soon, two female northern white rhinos will be born anywhere. It is up to him to find a mate.",2
item_p0001,p0001,4,"And it seems a slim chance, as Sudan is getting old at 42 and breeding efforts have so far failed.",ignore,[''],4,0.1219512195121951,2,41,It may be a slim chance. Sudan is getting old at 42 and attempts to have babies have failed.,2
item_p0001,p0001,5,"Apart from these three animals, there are only two other northern white rhinos in the world, both in zoos, both female.",ignore,[''],5,0.1463414634146341,2,41,,3
